Number,Registration,Details,Product,Odometer,Distance,Unit,MPG
0118,FP15SKE,Vauxhall Corsa Small Van,Diesel,23113,1887,Miles,44.83
0119,FP15SVA,Vauxhall Corsa Small Van,Diesel,21239,679,Miles,38.63
0120,FP15PVA,Vauxhall  Corsa Small Van,Diesel,36178,2609,Miles,53.58
0121,FP15SJX,Vauxhall Corsa Small Van,Diesel,62982,6067,Kilometres,41.91
0122,FP15RSX,Vauxhall Corsa Small Van,Diesel,42173,1651,Miles,47.59
0123,FP15SJU,Vauxhall  Corsa Small Van,Diesel,42270,2012,Miles,41.42
0124,FP15SLZ,Vauxhall Corsa Small Van,Diesel,49500,3938,Miles,49.5
0125,FP15SBO,Vauxhall Corsa Small Van,Diesel,35334,1937,Miles,41.76
0201,YJ16CVB,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,46057,12467,Miles,20
0202,YJ16CVA,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,51200,8689,Miles,18.45
0203,YJ16CVX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,60932,9188,Miles,18.72
0204,YJ16CVR,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,47993,12716,Miles,18.92
0205,YJ16CVS,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,89005,14410,Miles,18.97
0206,YJ16CVT,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,39415,7112,Miles,17.97
0207,YJ16CRZ,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,49801,12449,Miles,18.3
0208,YJ16CRX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,66485,18169,Miles,19.69
0209,YJ16 CRV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,89844,16460,Miles,19.37
0210,YJ16CUO,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,62435,11404,Miles,18.25
0211,YJ16CUC,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,56759,15551,Miles,20.78
0212,YJ16CVF,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,60345,14258,Miles,18.82
0213,YJ16CPY,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,56241,13020,Miles,19.08
0214,YJ16CPX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,48977,10784,Miles,19.51
0215,YJ16CPZ,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,50038,10393,Miles,17.73
0216,YJ16CPU,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,46831,12041,Miles,20.94
0217,YJ16CPN,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,46390,11875,Miles,19.91
0218,YJ16CSZ,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,70635,16515,Miles,21.19
0219,YJ16CRF,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,37974,10133,Miles,21.24
0220,YJ16CSY,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,65998,14357,Miles,20.61
0221,YJ16CPV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,54448,12703,Miles,19.28
0222,YJ16CTV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,58514,12023,Miles,18.26
0223,YJ16CSU,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,72496,16285,Miles,18.67
0224,YJ16CSV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,46432,10001,Miles,18.83
0225,YJ16CUV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,61195,11015,Miles,19.6
0226,YJ16CSF,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,60056,12549,Miles,20.83
0227,YJ16CSX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,66322,9404,Miles,18.29
